CITY,STATE,AREA,IDHM,IBGE_RES_POP,IBGE_POP
Vespasiano,MG,71.08,0.688,104527,84080
Caldas,MG,711.41,0.687,13633,7675
Dom Viçoso,MG,113.92,0.687,2994,997
Faria Lemos,MG,165.22,0.687,3376,2324
Passa Tempo,MG,429.17,0.687,8197,6332
Conceição Da Barra De Minas,MG,273.01,0.685,3954,2765
Elói Mendes,MG,499.54,0.685,25220,20303
Espírito Santo Do Dourado,MG,263.88,0.685,4429,1682
Piranguçu,MG,203.62,0.685,5217,1721
Resende Costa,MG,618.31,0.685,10913,8672
Rio Piracicaba,MG,373.04,0.685,14149,11229
Santana Do Paraíso,MG,276.07,0.685,27265,25947
Aimorés,MG,NaN,0.684,24959,19057
Antônio Prado De Minas,MG,83.8,0.684,1671,1003
Catas Altas,MG,240.04,0.684,4846,4233
Fronteira,MG,199.99,0.684,14041,13130
Mar De Espanha,MG,371.6,0.684,11749,10538
Piraúba,MG,144.29,0.684,10862,8768
Ribeirão Das Neves,MG,155.45,0.684,296317,272404
Rochedo De Minas,MG,79.4,0.684,2116,1914
Senador José Bento,MG,93.89,0.684,1868,682
Campos Gerais,MG,769.5,0.682,27600,19056
Carmo De Minas,MG,322.29,0.682,13750,10143
Patrocínio Do Muriaé,MG,108.25,0.682,5287,4303
Queluzito,MG,153.56,0.682,1861,847
Santa Rita De Jacutinga,MG,420.94,0.682,4993,3736
Turmalina,MG,NaN,0.682,18055,12862
Alvinópolis,MG,599.44,0.68,15261,11344
Antônio Carlos,MG,529.92,0.68,11114,7825
Arceburgo,MG,162.88,0.68,9509,8131
Baependi,MG,750.55,0.68,18307,13077
Bom Jesus Do Amparo,MG,195.61,0.68,5491,2512
Bonfinópolis De Minas,MG,NaN,0.68,5865,4089
Campo Do Meio,MG,275.43,0.68,11476,9130
Candeias,MG,720.51,0.68,14595,10112
Careaçu,MG,181.01,0.68,6298,4658
Cedro Do Abaeté,MG,283.21,0.68,1210,1033
Centralina,MG,327.19,0.68,10266,9295
Conceição De Ipanema,MG,253.94,0.68,4456,1462
Corinto,MG,NaN,0.68,23914,21041
Córrego Fundo,MG,101.11,0.68,5790,4401
Descoberto,MG,213.17,0.68,4768,4060
Estrela Do Indaiá,MG,635.98,0.68,3516,2767
Ewbank Da Câmara,MG,103.83,0.68,3753,3433
Gonçalves,MG,187.35,0.68,4220,1144
Gouveia,MG,866.6,0.68,11681,8193
Guidoval,MG,158.38,0.68,7206,5191
Gurinhatã,MG,NaN,0.68,6137,2672
Ilicínea,MG,376.34,0.68,11488,8991
Jaboticatubas,MG,NaN,0.68,17134,10722
Lagoa Dourada,MG,476.69,0.68,12256,6869
Luminárias,MG,500.14,0.68,5422,4137
Maripá De Minas,MG,77.34,0.68,2788,2261
Miraí,MG,320.7,0.68,13808,10323
Piedade Do Rio Grande,MG,322.81,0.68,4709,3423
Quartel Geral,MG,556.44,0.68,3303,2749
Ressaquinha,MG,183.06,0.68,4711,2979
São Sebastião Do Rio Verde,MG,90.85,0.68,2110,1321
Sapucaí-Mirim,MG,285.07,0.68,6241,3783
Tabuleiro,MG,211.08,0.68,4079,2697
Tiros,MG,NaN,0.68,6906,4815
Wenceslau Braz,MG,102.49,0.68,2553,1264
Glaucilândia,MG,145.86,0.679,2962,1048
Guapé,MG,934.35,0.679,13872,7111
Jaguaraçu,MG,163.76,0.679,2990,2137
Lagoa Grande,MG,NaN,0.679,8631,6377
Rio Preto,MG,348.05,0.679,5292,4408
Salinas,MG,NaN,0.679,39178,30607
Coronel Xavier Chaves,MG,140.95,0.677,3301,1800
Guaraciama,MG,390.26,0.677,4718,3024
Guarani,MG,264.19,0.677,8678,6610
Itatiaiuçu,MG,295.15,0.677,9928,6218
Serra Da Saudade,MG,335.66,0.677,815,524
Serrania,MG,209.27,0.677,7542,6537
Água Comprida,MG,492.17,0.675,2025,1499
Alfredo Vasconcelos,MG,130.82,0.675,6075,4031
Capetinga,MG,297.94,0.675,7089,5847
Eugenópolis,MG,309.4,0.675,10540,7358
Ibituruna,MG,153.11,0.675,2866,2465
Mantena,MG,685.21,0.675,27111,21053
Naque,MG,127.17,0.675,6341,5945
Pedralva,MG,217.99,0.675,11467,5504
Teixeiras,MG,166.74,0.675,11355,7574
Virginópolis,MG,439.88,0.675,10572,6147
Bela Vista De Minas,MG,109.14,0.674,10004,9377
Brasilândia De Minas,MG,NaN,0.674,14226,12341
Cabo Verde,MG,368.21,0.674,13823,7582
Guiricema,MG,293.58,0.674,8707,4207
Ibitiúra De Minas,MG,68.32,0.674,3382,2347
Indianópolis,MG,830.03,0.674,6190,3635
Itamogi,MG,243.71,0.674,10349,7695
Monte Alegre De Minas,MG,NaN,0.674,19619,13210
Olímpio Noronha,MG,54.63,0.674,2533,2248
Pequi,MG,203.99,0.674,4076,2949
São Pedro Da União,MG,260.83,0.674,5040,2755
Senador Cortes,MG,98.34,0.674,1988,1511
Buritis,MG,NaN,0.672,22737,15794
Entre Rios De Minas,MG,456.8,0.672,14242,9797
Liberdade,MG,401.34,0.672,5346,3848
Maravilhas,MG,261.6,0.672,7163,4882
Santo Antônio Do Amparo,MG,488.89,0.672,17345,15137
São Bento Abade,MG,80.4,0.672,4577,4236
São Roque De Minas,MG,NaN,0.672,6686,4188
União De Minas,MG,NaN,0.672,4418,2651
Aiuruoca,MG,649.68,0.67,6162,3042
Albertina,MG,58.01,0.67,2913,1998
Alterosa,MG,362.01,0.67,13717,9956
Baldim,MG,556.27,0.67,7913,5023
Bom Jardim De Minas,MG,412.02,0.67,6501,5540
Claro Dos Poções,MG,720.42,0.67,7775,5249
Conceição Das Pedras,MG,102.21,0.67,2749,1509
Consolação,MG,89.12,0.67,1727,949
Cristina,MG,311.33,0.67,10210,5899
Divisa Nova,MG,216.96,0.67,5763,4645
Dom Bosco,MG,817.38,0.67,3814,2050
Esmeraldas,MG,909.68,0.67,60271,55040
Fortaleza De Minas,MG,218.79,0.67,4098,2945
Jacuí,MG,409.23,0.67,7502,4529
Leme Do Prado,MG,280.04,0.67,4804,1761
Natalândia,MG,468.66,0.67,3280,2447
Nova Resende,MG,390.15,0.67,15374,8801
Papagaios,MG,553.58,0.67,14175,11821
Resplendor,MG,NaN,0.67,17089,12969
Rio Acima,MG,229.81,0.67,9090,8453
Rodeiro,MG,72.67,0.67,6867,5506
