,name_x,cases,IDHM,IBGE_POP
415,José Raydan,18,0.617,1560
416,Josenópolis,82,0.564,2443
417,Nova União,37,0.662,2984
418,Juatuba,420,0.72,21719
419,Juiz de Fora,7070,0.778,499216
420,Juramento,28,0.669,2270
421,Juruaia,247,0.723,4487
422,Juvenília,91,0.59,4384
423,Ladainha,51,0.541,4268
424,Lagamar,98,0.718,5098
425,Lagoa da Prata,952,0.732,44536
426,Lagoa dos Patos,20,0.634,3073
427,Lagoa Dourada,56,0.68,6869
428,Lagoa Formosa,514,0.703,12898
429,Lagoa Grande,31,0.679,6377
430,Lagoa Santa,679,0.777,49199
431,Lajinha,575,0.66,12187
432,Lambari,206,0.711,13973
433,Lamim,6,0.655,1511
434,Laranjal,34,0.71,4738
435,Lassance,40,0.629,3872
436,Lavras,490,0.782,87422
437,Leandro Ferreira,47,0.71,2117
438,Leme do Prado,2,0.67,1761
439,Leopoldina,882,0.726,45516
440,Liberdade,5,0.672,3848
441,Lima Duarte,167,0.71,12239
442,Limeira do Oeste,232,0.71,4943
443,Lontra,28,0.65,5614
444,Luisburgo,81,0.608,1836
445,Luislândia,14,0.614,2989
446,Luminárias,39,0.68,4137
447,Luz,189,0.72,15593
448,Machacalis,97,0.64,5735
449,Machado,190,0.715,31371
450,Madre de Deus de Minas,51,0.7,3714
451,Malacacheta,239,0.618,11701
452,Mamonas,10,0.618,2808
453,Manga,187,0.642,13766
454,Manhuaçu,1897,0.69,63209
455,Manhumirim,599,0.7,16895
456,Mantena,656,0.675,21053
457,Maravilhas,29,0.672,4882
458,Mar de Espanha,82,0.684,10538
459,Maria da Fé,146,0.7,8281
460,Mariana,2343,0.742,47999
461,Marilac,69,0.615,3417
462,Mário Campos,138,0.7,11929
463,Maripá de Minas,25,0.68,2261
464,Marliéria,39,0.657,2823
465,Marmelópolis,4,0.65,1549
466,Martinho Campos,116,0.669,10932
467,Martins Soares,65,0.635,2917
468,Mata Verde,166,0.581,6387
469,Materlândia,3,0.597,2005
470,Mateus Leme,365,0.7,24603
471,Matias Barbosa,186,0.72,12434
472,Matias Cardoso,42,0.616,5131
473,Matipó,334,0.631,13766
474,Mato Verde,77,0.662,9160
475,Matozinhos,416,0.731,32354
476,Matutina,87,0.71,2683
477,Medeiros,25,0.711,1934
478,Medina,284,0.624,15048
479,Mendes Pimentel,52,0.626,3447
480,Mercês,28,0.664,7226
481,Mesquita,67,0.66,3805
482,Minas Novas,38,0.633,12471
